Title,Company,Location,Date,Skills,Link
Customers Payment Analyst,Bose Corporation,"Lisbon, Portugal",2023-06-15,"['Python', 'SQL', 'Power BI']",https://pt.linkedin.com/jobs/view/customers-payment-analyst-at-bose-corporation-3622356754?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=OsYjdUqKv2ckaKRKb4A9dQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Video Game Tester - Arabic Localization (English Knowledge required),Testronic,"Lisboa, Lisbon, Portugal",2023-05-24,['Jira'],https://pt.linkedin.com/jobs/view/video-game-tester-arabic-localization-english-knowledge-required-at-testronic-3616798288?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=NEzWgsQqQmWSpNLHqWLYDQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst,Growin,"Porto, Porto, Portugal",2023-04-21,['Jira'],https://pt.linkedin.com/jobs/view/business-analyst-at-growin-3609521006?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=cGHwIdL8QLXOSHZ2HZzNnQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Decskill,"Lisbon, Lisbon, Portugal",2023-06-29,"['Data Analysis', 'Tableau', 'Digital Marketing', 'Data Visualization', 'Python', 'Big Data', 'Power BI']",https://pt.linkedin.com/jobs/view/data-analyst-at-decskill-3647624788?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=ImgXP0nNap1HVg7vF1ivOA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Python Developer for Imunify - REMOTE/Work Anywhere,CloudLinux,"Lisboa, Lisbon, Portugal",2023-04-28,"['Network Security', 'CI/CD', 'Go', 'Python', 'Artificial Intelligence']",https://pt.linkedin.com/jobs/view/senior-python-developer-for-imunify-remote-work-anywhere-at-cloudlinux-3591432880?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=5QIBfLnB6FUupXiWcql5Jg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Power BI,Theros Digital,"Lisboa, Lisbon, Portugal",2023-03-28,"['Power BI', 'PL/SQL', 'SQL']",https://pt.linkedin.com/jobs/view/power-bi-at-theros-digital-3580765506?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=%2B5LK9%2BMQv1tOIiH4BIkspw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Scientist,RedCloud,"Lisbon, Lisbon, Portugal",2023-05-05,[],https://pt.linkedin.com/jobs/view/data-scientist-at-redcloud-3597471762?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=g1rQXzrKobxZ4El2QvvNgQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
team Python Developer,team.it,"Porto, Porto, Portugal",2023-06-05,"['Python', 'DevOps']",https://pt.linkedin.com/jobs/view/team-python-developer-at-team-it-3628051380?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=hvOCTLsq8v%2FaTq73c9C0KA%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst,Theros Digital,"Lisboa, Lisbon, Portugal",2023-03-28,[],https://pt.linkedin.com/jobs/view/business-analyst-at-theros-digital-3580762931?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=WMWa%2Fd3ofd8h8D64%2Fm5XIw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Ponte do Lima, Viana do Castelo, Portugal",2023-07-06,"['Data Analysis', 'Tableau', 'Statistical Analysis', 'Data Collection', 'Data Visualization', 'Power BI']",https://pt.linkedin.com/jobs/view/junior-data-analyst-remote-internship-%E2%80%93-data-analysis-at-talentkompass-deutschland-3650070798?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=z8TwoBCrsR1%2FUuSsQrJUmw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
Product Data Analyst - Experimentation,Marley Spoon,"Lisboa, Lisbon, Portugal",2023-05-31,"['Statistical Analysis', 'SQL']",https://pt.linkedin.com/jobs/view/product-data-analyst-experimentation-at-marley-spoon-3623656834?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=TTct0dumoZEYpE0h4BDdSQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Python Developer (m/f),Decode,"Lisbon, Lisbon, Portugal",2023-06-24,"['Flask', 'Scrum', 'Git', 'Big Data Analytics', 'Django', 'Azure', 'NoSQL', 'Unit Testing', 'Python', 'Oracle', 'AWS', 'Big Data']",https://pt.linkedin.com/jobs/view/python-developer-m-f-at-decode-3645015309?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=U5gFF5R1MK1uytchmUuyDA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst,Irium Portugal,Portugal,2023-07-05,[],https://pt.linkedin.com/jobs/view/business-analyst-at-irium-portugal-3656189588?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=i0Dkv2GIbaNICEh9rx8CYw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
KYC Operations Analyst,Viva Wallet,"Lisboa, Lisbon, Portugal",2023-07-07,"['Fintech', 'Android']",https://pt.linkedin.com/jobs/view/kyc-operations-analyst-at-viva-wallet-3652499326?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=2RL8loVMWdPHyJZPR%2BdsAg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Generation | Programa de Estágios,Transfor,"Lisboa, Lisbon, Portugal",2023-06-05,[],https://pt.linkedin.com/jobs/view/generation-programa-de-est%C3%A1gios-at-transfor-3627424300?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=v5y8p412v%2FhIon3ky2WY9A%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
AI Developer,Volkswagen Digital Solutions,"Lisbon, Lisbon, Portugal",2023-07-03,"['DevOps', 'Machine Learning', 'Python', 'Artificial Intelligence', 'AWS', 'Deep Learning', 'Java', 'C']",https://pt.linkedin.com/jobs/view/ai-developer-at-volkswagen-digital-solutions-3654686250?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=oaeNIBaBgmpOkVxGOvVQtw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
